ID;Chamber;Volume;N_shoots;N_leaves;LW_Rhizome;LW_leaves
Low_Dark_1;1;2.77;3;20;42.4;14.2
Low_Dark_2;2;2.56;3;19;38.2;10.3
Amb_Dark_1;1;2.74;2;9;10.41;4.11
Amb_Dark_2;3;2.63;2;12;27.85;6.4
Low_Light_1;3;2.58;2;11;16.95;5.66
Low_Light_2;2;2.38;2;8;11.81;5.23
Amb_Light_1;3;2.4;2;13;17.4;10.4
Amb_Light_2;1;2.55;2;11;28.94;8.57
